=== SSM PREFIX SCAN METRICS REPORT ===
timing_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/timing.csv
raw_dir:    /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/raw_ncu
out_dir:    /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442
peak_bw_gbs=2039.000 peak_fp32_gflops=19500.000

=== PERFORMANCE TABLES (time_ms) ===
D=1
L,warp_shuffle,blelloch,hillis_steele
1024,0.0154,0.0164,0.0133
2048,0.0133,0.0174,0.0143
4096,0.0133,0.0174,0.0154
8192,0.0133,0.0174,0.0154
16384,0.0133,0.0184,0.0154
32768,0.0168,0.0209,0.0195
65536,0.0196,0.0265,0.0239
131072,0.0210,0.0292,0.0231

D=16
L,warp_shuffle,blelloch,hillis_steele
1024,0.0123,0.0164,0.0143
2048,0.0155,0.0210,0.0227
4096,0.0215,0.0260,0.0218
8192,0.0196,0.0264,0.0244
16384,0.0235,0.0339,0.0284
32768,0.0283,0.0412,0.0323
65536,0.0329,0.0640,0.0467
131072,0.0513,0.1110,0.0760

D=64
L,warp_shuffle,blelloch,hillis_steele
1024,0.0198,0.0253,0.0214
2048,0.0206,0.0283,0.0232
4096,0.0226,0.0319,0.0257
8192,0.0240,0.0451,0.0296
16384,0.0326,0.0655,0.0462
32768,0.0528,0.1129,0.0739
65536,0.1217,0.2297,0.1571
131072,0.2191,0.4360,0.2945

D=256
L,warp_shuffle,blelloch,hillis_steele
1024,0.0229,0.0342,0.0271
2048,0.0302,0.0430,0.0315
4096,0.0342,0.0646,0.0442
8192,0.0523,0.1109,0.0753
16384,0.1183,0.2268,0.1560
32768,0.2180,0.4356,0.2973
65536,0.4208,0.8556,0.5703
131072,0.8850,1.6857,1.1257

D=512
L,warp_shuffle,blelloch,hillis_steele
1024,0.0272,0.0444,0.0318
2048,0.0327,0.0650,0.0439
4096,0.0533,0.1111,0.0744
8192,0.1186,0.2244,0.1554
16384,0.2185,0.4345,0.2946
32768,0.4203,0.8546,0.5685
65536,0.8211,1.6876,1.1216
131072,1.6527,3.3558,2.2322

=== ROOFLINE POINTS (all runs) ===
kernel,D,L,AI_flop_per_byte,GFLOP_s,DRAM_BW_GB_s,roofline_bound,roofline_eff_pct
blelloch,16,65536,NA,NA,NA,NA,NA
hillis_steele,16,65536,NA,NA,NA,NA,NA
warp_shuffle,16,131072,NA,NA,NA,NA,NA
blelloch,16,131072,NA,NA,NA,NA,NA
hillis_steele,16,131072,NA,NA,NA,NA,NA
warp_shuffle,64,1024,NA,NA,NA,NA,NA
blelloch,64,1024,NA,NA,NA,NA,NA
hillis_steele,64,1024,NA,NA,NA,NA,NA
warp_shuffle,64,2048,NA,NA,NA,NA,NA
blelloch,64,2048,NA,NA,NA,NA,NA
hillis_steele,64,2048,NA,NA,NA,NA,NA
warp_shuffle,64,4096,NA,NA,NA,NA,NA
blelloch,64,4096,NA,NA,NA,NA,NA
hillis_steele,64,4096,NA,NA,NA,NA,NA
warp_shuffle,64,8192,NA,NA,NA,NA,NA
blelloch,64,8192,NA,NA,NA,NA,NA
hillis_steele,64,8192,NA,NA,NA,NA,NA
warp_shuffle,64,16384,NA,NA,NA,NA,NA
blelloch,64,16384,NA,NA,NA,NA,NA
hillis_steele,64,16384,NA,NA,NA,NA,NA
warp_shuffle,64,32768,NA,NA,NA,NA,NA
blelloch,64,32768,NA,NA,NA,NA,NA
hillis_steele,64,32768,NA,NA,NA,NA,NA
warp_shuffle,64,65536,NA,NA,NA,NA,NA
blelloch,64,65536,NA,NA,NA,NA,NA
hillis_steele,64,65536,NA,NA,NA,NA,NA
warp_shuffle,64,131072,NA,NA,NA,NA,NA
blelloch,64,131072,NA,NA,NA,NA,NA
hillis_steele,64,131072,NA,NA,NA,NA,NA
warp_shuffle,256,1024,NA,NA,NA,NA,NA
blelloch,256,1024,NA,NA,NA,NA,NA
hillis_steele,256,1024,NA,NA,NA,NA,NA
warp_shuffle,256,2048,NA,NA,NA,NA,NA
blelloch,256,2048,NA,NA,NA,NA,NA
hillis_steele,256,2048,NA,NA,NA,NA,NA
warp_shuffle,256,4096,NA,NA,NA,NA,NA
blelloch,256,4096,NA,NA,NA,NA,NA
hillis_steele,256,4096,NA,NA,NA,NA,NA
warp_shuffle,256,8192,NA,NA,NA,NA,NA
blelloch,256,8192,NA,NA,NA,NA,NA
hillis_steele,256,8192,NA,NA,NA,NA,NA
warp_shuffle,256,16384,NA,NA,NA,NA,NA
blelloch,256,16384,NA,NA,NA,NA,NA
hillis_steele,256,16384,NA,NA,NA,NA,NA
warp_shuffle,256,32768,NA,NA,NA,NA,NA
blelloch,256,32768,NA,NA,NA,NA,NA
hillis_steele,256,32768,NA,NA,NA,NA,NA
warp_shuffle,256,65536,NA,NA,NA,NA,NA
blelloch,256,65536,NA,NA,NA,NA,NA
hillis_steele,256,65536,NA,NA,NA,NA,NA
warp_shuffle,256,131072,NA,NA,NA,NA,NA
blelloch,256,131072,NA,NA,NA,NA,NA
hillis_steele,256,131072,NA,NA,NA,NA,NA
warp_shuffle,512,1024,NA,NA,NA,NA,NA
blelloch,512,1024,NA,NA,NA,NA,NA
hillis_steele,512,1024,NA,NA,NA,NA,NA
warp_shuffle,512,2048,NA,NA,NA,NA,NA
blelloch,512,2048,NA,NA,NA,NA,NA
hillis_steele,512,2048,NA,NA,NA,NA,NA
warp_shuffle,512,4096,NA,NA,NA,NA,NA
blelloch,512,4096,NA,NA,NA,NA,NA
hillis_steele,512,4096,NA,NA,NA,NA,NA
warp_shuffle,512,8192,NA,NA,NA,NA,NA
blelloch,512,8192,NA,NA,NA,NA,NA
hillis_steele,512,8192,NA,NA,NA,NA,NA
warp_shuffle,512,16384,NA,NA,NA,NA,NA
blelloch,512,16384,NA,NA,NA,NA,NA
hillis_steele,512,16384,NA,NA,NA,NA,NA
warp_shuffle,512,32768,NA,NA,NA,NA,NA
blelloch,512,32768,NA,NA,NA,NA,NA
hillis_steele,512,32768,NA,NA,NA,NA,NA
warp_shuffle,512,65536,NA,NA,NA,NA,NA
blelloch,512,65536,NA,NA,NA,NA,NA
hillis_steele,512,65536,NA,NA,NA,NA,NA
warp_shuffle,512,131072,NA,NA,NA,NA,NA
blelloch,512,131072,NA,NA,NA,NA,NA
hillis_steele,512,131072,NA,NA,NA,NA,NA

=== FULL PER-RUN UTILIZATION TABLE ===
kernel,D,L,occ_pct,warp_eff_pct,sm_util_pct,dram_util_pct,bw_util_pct,resident_warps,regs_per_thread,block_size,shared_mem_B,l1_hit_pct,l2_hit_pct,utilization_bound
warp_shuffle,1,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,1,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,32768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,65536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,131072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA

=== PHASE BREAKDOWN (gpu_time_duration shares) ===
kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct

=== OCCUPANCY/REGISTER SUMMARY (avg over L) ===
kernel,D,occ_pct_avg,resident_warps_avg,warp_eff_avg,regs_peak_avg,block_size_avg,shared_mem_B_avg,sm_util_avg,dram_util_avg,bw_util_avg
warp_shuffle,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
warp_shuffle,512,NA,NA,NA,NA,NA,NA,NA,NA,NA
blelloch,512,NA,NA,NA,NA,NA,NA,NA,NA,NA
hillis_steele,512,NA,NA,NA,NA,NA,NA,NA,NA,NA

=== CROSSOVER ANALYSIS (hillis_steele / blelloch) ===
D=1: hillis_steele faster than blelloch for all tested L
  L=1024: 0.8125; L=2048: 0.8235; L=4096: 0.8824; L=8192: 0.8824; L=16384: 0.8333; L=32768: 0.9327; L=65536: 0.9023; L=131072: 0.7906
D=16: crosses between L=1024 and L=2048
  L=1024: 0.8750; L=2048: 1.0809; L=4096: 0.8387; L=8192: 0.9237; L=16384: 0.8393; L=32768: 0.7832; L=65536: 0.7295; L=131072: 0.6841
D=64: hillis_steele faster than blelloch for all tested L
  L=1024: 0.8447; L=2048: 0.8211; L=4096: 0.8044; L=8192: 0.6570; L=16384: 0.7056; L=32768: 0.6547; L=65536: 0.6838; L=131072: 0.6756
D=256: hillis_steele faster than blelloch for all tested L
  L=1024: 0.7925; L=2048: 0.7321; L=4096: 0.6845; L=8192: 0.6789; L=16384: 0.6878; L=32768: 0.6827; L=65536: 0.6665; L=131072: 0.6678
D=512: hillis_steele faster than blelloch for all tested L
  L=1024: 0.7167; L=2048: 0.6750; L=4096: 0.6692; L=8192: 0.6925; L=16384: 0.6780; L=32768: 0.6652; L=65536: 0.6646; L=131072: 0.6652

=== OUTPUT FILES ===
merged_metrics_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/merged_metrics.csv
kernel_launch_metrics_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/kernel_launch_metrics.csv
phase_breakdown_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/phase_breakdown.csv
occupancy_summary_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/occupancy_summary.csv
crossover_summary_csv: /content/EE451_ParallelPrefixScanProject/Results/profile_run_colab_20260428_201442/crossover_summary.csv
